sparkasse,state,bemessung_2014,gesamtbezuege_2014,durchschnitt_val,durchschnittsgehalt_2014,bilanzsumme_2014,mitarbeiter_2014,mitarbeiter_val,anzahl_vorstaende_2014
Kreissparkasse Freudenstadt,Baden-Württemberg,0.4581339222,671 T. €,223.66666666666666,"223,7 T. €","1,7 Mrd. €",412,412.0,3
Stadt-Sparkasse Langenfeld,Nordrhein-Westfalen,0.370756588,"679,7 T. €",339.85,"339,9 T. €","1,3 Mrd. €",254,254.0,2
Sparkasse Witten,Nordrhein-Westfalen,0.522611799,681 T. €,340.5,"340,5 T. €",2 Mrd. €,463,463.0,2
Sparkasse Zollernalb,Baden-Württemberg,0.9016381607,682 T. €,341.0,341 T. €,"3,2 Mrd. €",804,804.0,2
Sparkasse Gießen,Hessen,0.5913571,686 T. €,274.4,"274,4 T. €","2,1 Mrd. €",628,628.0,"2,5"
Sparkasse Aichach-Schrobenhausen,Bayern,0.3723524117,686 T. €,228.66666666666666,"228,7 T. €","1,2 Mrd. €",377,377.0,3
Sparkasse Niederlausitz mit Sitz in Senftenberg,Brandenburg,0.445989213,689 T. €,344.5,"344,5 T. €","1,5 Mrd. €",335,335.0,2
Sparkasse Rotenburg-Bremervörde,Niedersachsen,0.5208118764,690 T. €,345.0,345 T. €,"1,8 Mrd. €",471,471.0,2
Kreissparkasse Halle,Nordrhein-Westfalen,0.356440065,690 T. €,345.0,345 T. €,"1,4 Mrd. €",245,245.0,2
Sparkasse Jena-Saale-Holzland,Thüringen,0.4695843545,694 T. €,231.33333333333334,"231,3 T. €","1,9 Mrd. €",479,479.0,3
Kreissparkasse Schwalm-Eder,Hessen,0.5148869898,699 T. €,349.5,"349,5 T. €",2 Mrd. €,445,445.0,2
Sparkasse im Landkreis Schwandorf,Bayern,0.5270469335,701 T. €,300.85836909871244,"300,9 T. €","1,9 Mrd. €",534,534.0,"2,33"
Sparkasse Dieburg,Hessen,0.736059601,"704,6 T. €",352.3,"352,3 T. €","2,2 Mrd. €",524,524.0,2
Sparkasse zu Lübeck AG,Schleswig-Holstein,0.700964196,707 T. €,353.5,"353,5 T. €","2,4 Mrd. €",493,493.0,2
Sparkasse Gera-Greiz,Thüringen,0.5195283085,740 T. €,246.66666666666666,"246,7 T. €","1,9 Mrd. €",494,494.0,3
Sparkasse Mülheim an der Ruhr,Nordrhein-Westfalen,0.7265559222,"744,7 T. €",248.21833333333333,"248,2 T. €","2,7 Mrd. €",534,534.0,3
Sparkasse Dachau,Bayern,0.7157140412,749 T. €,374.5,"374,5 T. €","2,6 Mrd. €",561,561.0,2
Sparkasse Hochrhein,Baden-Württemberg,0.7838573377,763 T. €,339.11111111111114,"339,1 T. €","2,7 Mrd. €",567,567.0,"2,25"
Sparkasse Berchtesgadener Land,Bayern,0.4306901371,764 T. €,254.66666666666666,"254,7 T. €","1,5 Mrd. €",394,394.0,3
Sparkasse im Landkreis Neustadt/Aisch - Bad Windsheim,Bayern,0.52921074163,777 T. €,259.0,259 T. €,"1,8 Mrd. €",457,457.0,3
Kreissparkasse Traunstein-Trostberg,Bayern,0.5059352992,779 T. €,259.66666666666663,"259,7 T. €",2 Mrd. €,469,469.0,3
Vereinigte Sparkassen im Landkreis Weilheim,Bayern,0.4630822982,779 T. €,259.66666666666663,"259,7 T. €","1,6 Mrd. €",409,409.0,3
Sparkasse Miltenberg-Obernburg,Bayern,0.5169550678,780 T. €,260.0,260 T. €,"1,8 Mrd. €",530,530.0,3
Stadt-Sparkasse Solingen,Nordrhein-Westfalen,0.620420552,781 T. €,390.5,"390,5 T. €","2,2 Mrd. €",630,630.0,2
Kreissparkasse Wiedenbrück,Nordrhein-Westfalen,0.5728771,784 T. €,392.0,392 T. €,"2,1 Mrd. €",366,366.0,2
OstseeSparkasse Rostock,Mecklenburg-Vorpommern,0.817627535,792 T. €,396.0,396 T. €,3 Mrd. €,741,741.0,2
Kreis- und Stadtsparkasse Erding - Dorfen,Bayern,0.5234468213,794 T. €,264.6666666666667,"264,7 T. €","1,9 Mrd. €",421,421.0,3
Sparkasse Baden-Baden Gaggenau,Baden-Württemberg,0.4865835309,795 T. €,265.0,265 T. €,"1,8 Mrd. €",390,390.0,3
Sparkasse Hildesheim,Niedersachsen,1.1856920945,805 T. €,268.3333333333333,"268,3 T. €","3,9 Mrd. €",1085,1085.0,3
Kreissparkasse Miesbach-Tegernsee,Bayern,0.5056710061,806 T. €,268.6666666666667,"268,7 T. €","1,7 Mrd. €",380,380.0,3
Sparkasse Zwickau,Sachsen,0.7505540274,812 T. €,406.0,406 T. €,"2,6 Mrd. €",514,514.0,2
Sparkasse Langen-Seligenstadt,Hessen,0.943730212,817 T. €,408.5,"408,5 T. €","3,2 Mrd. €",740,740.0,2
Vereinigte Spk. Eschenbach Neustadt Vohenstrauß,Bayern,0.4261203879,818 T. €,272.6666666666667,"272,7 T. €","1,3 Mrd. €",348,348.0,3
Sparkasse Fulda,Hessen,1.0106091351,828 T. €,276.0,276 T. €,"3,5 Mrd. €",837,837.0,3
Sparkasse Schweinfurt,Bayern,0.6983925426300001,833 T. €,277.6666666666667,"277,7 T. €","2,5 Mrd. €",596,596.0,3
Sparkasse Landsberg-Dießen,Bayern,0.5163655792,856 T. €,285.3333333333333,"285,3 T. €","1,7 Mrd. €",404,404.0,3
Sparkasse Märkisch-Oderland,Brandenburg,0.375004743,866 T. €,288.6666666666667,"288,7 T. €","1,5 Mrd. €",361,361.0,3
Sparkasse Soest,Nordrhein-Westfalen,0.410892773,870 T. €,290.0,290 T. €,"1,5 Mrd. €",303,303.0,3
Sparkasse Oberlausitz-Niederschlesien,Sachsen,0.7931401242,874 T. €,437.0,437 T. €,"2,9 Mrd. €",590,590.0,2
