,sparkasse,state,bemessung_2014,gesamtbezuege_2014,durchschnittsgehalt_2014,bilanzsumme_2014,mitarbeiter_2014,anzahl_vorstaende_2014
284,Kreissparkasse Düsseldorf,Nordrhein-Westfalen,7505889963.0,1015625.0,338541.6666666667,"2,6 Mrd. €",679.0,3.0
285,Sparkasse Passau,Bayern,7569454253.0,989000.0,329666.6666666667,"2,6 Mrd. €",779.0,3.0
286,Sparkasse Mülheim an der Ruhr,Nordrhein-Westfalen,7265559222.0,744655.0,248218.33333333334,"2,7 Mrd. €",534.0,3.0
288,Sparkasse Zwickau,Sachsen,7505540274.0,812000.0,406000.0,"2,6 Mrd. €",514.0,2.0
290,Sparkasse Hochrhein,Baden-Württemberg,7838573377.0,763000.0,331739.13043478265,"2,7 Mrd. €",567.0,2.3
292,Kreissparkasse Groß-Gerau,Hessen,7732305998.0,1155000.0,385000.0,"2,7 Mrd. €",686.0,3.0
294,Sparkasse Göttingen,Niedersachsen,7625043860.0,925000.0,308333.3333333333,"2,7 Mrd. €",730.0,3.0
297,Vereinigte Sparkassen Stadt- und Landkreis Ansbach,Bayern,8286175772.9,920000.0,306666.6666666667,"2,9 Mrd. €",708.0,3.0
299,Sparkasse Lemgo,Nordrhein-Westfalen,7721048650.0,1211000.0,403666.6666666667,"2,8 Mrd. €",630.0,3.0
300,Sparkasse Worms-Alzey-Ried,Rheinland-Pfalz,7816195838.0,1256000.0,322051.28205128206,"2,9 Mrd. €",613.0,3.9
301,Sparkasse Oberlausitz-Niederschlesien,Sachsen,7931401242.0,874000.0,437000.0,"2,9 Mrd. €",590.0,2.0
302,Sparkasse Fürth,Bayern,8403634101.0,1063000.0,354333.3333333333,3 Mrd. €,775.0,3.0
303,OstseeSparkasse Rostock,Mecklenburg-Vorpommern,8176275350.0,792000.0,396000.0,3 Mrd. €,741.0,2.0
305,Kreissparkasse Heinsberg,Nordrhein-Westfalen,8668226112.0,1063500.0,354500.0,3 Mrd. €,702.0,3.0
306,Kreissparkasse Mittelsachsen,Sachsen,8109155967.0,1538000.0,473230.76923076925,3 Mrd. €,631.0,3.25
307,Sparkasse Vogtland,Sachsen,8440424112.0,1176000.0,392000.0,3 Mrd. €,598.0,3.0
310,Sparkasse Siegen,Nordrhein-Westfalen,8882343577.0,1267000.0,422333.3333333333,"3,1 Mrd. €",796.0,3.0
311,Sparkasse Schwäbisch Hall Crailsheim,Baden-Württemberg,8254863453.0,921000.0,307000.0,"3,1 Mrd. €",576.0,3.0
312,Sparkasse am Niederrhein,Nordrhein-Westfalen,8385817628.0,1016200.0,338733.3333333333,"3,1 Mrd. €",757.0,3.0
313,Sparkasse Leverkusen,Nordrhein-Westfalen,8448484042.0,1286300.0,428766.6666666667,"3,1 Mrd. €",619.0,3.0
314,Sparkasse Emsland,Niedersachsen,9224059551.0,990000.0,330000.0,"3,1 Mrd. €",889.0,3.0
315,Kreissparkasse Augsburg,Bayern,8779722134.0,1094000.0,364666.6666666667,"3,2 Mrd. €",688.0,3.0
