sparkasse,plz,state,bemessung_2014,gesamtbezuege_2014,durchschnitt_val,durchschnittsgehalt_2014,bilanzsumme_2014,mitarbeiter_2014,mitarbeiter_val,anzahl_vorstaende_2014
Sparkasse Hochsauerland,"59929,59964,59955,59939,59909",Nordrhein-Westfalen,0.29988991,606 T. €,303.0,303 T. €,"1,2 Mrd. €",305,305.0,2
Kreissparkasse Saarpfalz,"66399,66386,66424,66459,66450,66453,66440",Saarland,0.481667239,610 T. €,305.0,305 T. €,"1,7 Mrd. €",451,451.0,2
Kreissparkasse Saalfeld-Rudolstadt,"07427,07426,98746,98744,07330,07407,07422,07334,98739,98743,07338,07429,07349,07333,07318",Thüringen,0.313696109,612 T. €,204.0,204 T. €,"1,2 Mrd. €",302,302.0,3
Sparkasse Märkisches Sauerland Hemer-Menden,"58708,58675,58710,58706",Nordrhein-Westfalen,0.3207261098,613 T. €,306.5,"306,5 T. €","1,2 Mrd. €",274,274.0,2
Sparkasse Bad Hersfeld-Rotenburg,"36219,36277,36217,36272,36199,36282,36287,36211,36289,36251,36179,36214,36284,36166,36275,36269,36208,36286,36266",Hessen,0.5540114151,615 T. €,307.5,"307,5 T. €","1,8 Mrd. €",484,484.0,2
Sparkasse Arnsberg-Sundern,"59757,59759,59823,59821,59755,59846",Nordrhein-Westfalen,0.33176417,616 T. €,308.0,308 T. €,"1,1 Mrd. €",286,286.0,2
Kreissparkasse Heidenheim,"89567,89168,89555,89547,89551,89564,89522,89542,89568,89518,89520,89561,89537",Baden-Württemberg,0.4903130782,617 T. €,308.5,"308,5 T. €","1,9 Mrd. €",386,386.0,2
Herner Sparkasse,"44651,44628,44653,44629,44649,44625,44623,44627,44652",Nordrhein-Westfalen,0.4446124393,621 T. €,310.5,"310,5 T. €","1,6 Mrd. €",418,418.0,2
Vereinigte Sparkasse im Märkischen Kreis,"58840,58762,58791,58802,58769,58809",Nordrhein-Westfalen,0.423433677,624 T. €,312.0,312 T. €,"1,6 Mrd. €",355,355.0,2
Sparkasse Beckum-Wadersloh,"59269,59329",Nordrhein-Westfalen,0.222210786,626 T. €,313.0,313 T. €,"781,1 Mio. €",192,192.0,2
Sparkasse Pfaffenhofen,"85088,85276,85283,85290,85305,85301,85307,85296,85119,85309,85293,85298,85126,85304",Bayern,0.3344662206,630 T. €,252.0,252 T. €,"1,2 Mrd. €",327,327.0,"2,5"
